Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
Q9H553,ENSG00000119523.10,ENST00000476832.2,ENSP00000417764.1,ALG2,9,416
Q13023,ENSG00000151320.11,ENST00000280979.9,ENSP00000280979.4,AKAP6,14,2319
Q8WTP8,ENSG00000181026.15,ENST00000332810.4,ENSP00000331944.3,AEN,15,325
Q9NP61,ENSG00000242247.11,ENST00000263245.10,ENSP00000263245.5,ARFGAP3,22,516
P36404,ENSG00000213465.8,ENST00000529384.5,ENSP00000436021.1,ARL2,11,184
Q9NQ90,ENSG00000047617.15,ENST00000650848.1,ENSP00000498903.1,ANO2,12,1003
Q99873,ENSG00000126457.21,ENST00000454376.6,ENSP00000406162.2,PRMT1,19,371
P48047,ENSG00000241837.7,ENST00000290299.7,ENSP00000290299.2,ATP5PO,21,213
O60566,ENSG00000156970.12,ENST00000287598.10,ENSP00000287598.6,BUB1B,15,1050
Q5VZK9,ENSG00000079691.18,ENST00000329474.7,ENSP00000331983.6,CARMIL1,6,1371
P53634,ENSG00000109861.16,ENST00000227266.10,ENSP00000227266.4,CTSC,11,463
P00746,ENSG00000274619.2,ENST00000617994.2,ENSP00000478745.1,CFD,CHR_HSCHR19_5_CTG2,253
P30260,ENSG00000004897.12,ENST00000066544.8,ENSP00000066544.3,CDC27,17,824
Q9HD42,ENSG00000131165.15,ENST00000397901.8,ENSP00000380998.3,CHMP1A,16,196
P49454,ENSG00000117724.13,ENST00000366955.8,ENSP00000355922.3,CENPF,1,3114
Q7L2Z9,ENSG00000031691.7,ENST00000335783.4,ENSP00000337289.2,CENPQ,6,268
P47902,ENSG00000113722.17,ENST00000231656.13,ENSP00000231656.7,CDX1,5,265
P40259,ENSG00000007312.12,ENST00000006750.7,ENSP00000006750.3,CD79B,17,229
Q96CF2,ENSG00000164695.5,ENST00000297265.5,ENSP00000297265.4,CHMP4C,8,233
Q9BWV3,ENSG00000102543.14,ENST00000251108.10,ENSP00000251108.6,CDADC1,13,514
Q07002,ENSG00000117266.15,ENST00000360066.6,ENSP00000353176.2,CDK18,1,474
Q5T280,ENSG00000198917.13,ENST00000361256.10,ENSP00000354812.5,SPOUT1,9,376
Q96M91,ENSG00000172361.6,ENST00000398545.5,ENSP00000381553.3,CFAP53,18,514
P28907,ENSG00000004468.13,ENST00000226279.8,ENSP00000226279.2,CD38,4,300
P29016,ENSG00000158485.11,ENST00000368168.4,ENSP00000357150.3,CD1B,1,333
Q96QF7,ENSG00000147174.11,ENST00000373695.1,ENSP00000362799.1,GCNA,X,691
Q9H765,ENSG00000177981.11,ENST00000536549.5,ENSP00000445622.1,ASB8,12,288
Q8ND61,ENSG00000131379.10,ENST00000253697.8,ENSP00000253697.3,C3orf20,3,904
Q8N5C1,ENSG00000178033.6,ENST00000368599.4,ENSP00000357588.3,CALHM5,6,309
B7Z1M9,ENSG00000225556.1,ENST00000454109.1,ENSP00000389554.1,C2CD4D,1,353
Q9BXI9,ENSG00000133466.14,ENST00000337843.7,ENSP00000338812.2,C1QTNF6,22,278
Q5JW98,ENSG00000164451.13,ENST00000368596.3,ENSP00000357585.3,CALHM4,6,314
Q86V15,ENSG00000130940.15,ENST00000377022.8,ENSP00000366221.3,CASZ1,1,1759
A8MXV6,ENSG00000214819.2,ENST00000399044.1,ENSP00000382000.1,CDRT15L2,17,281
Q96G28,ENSG00000163001.11,ENST00000349456.8,ENSP00000295117.4,CFAP36,2,342
Q9NRB3,ENSG00000136213.10,ENST00000618655.2,ENSP00000481912.1,CHST12,7,414
Q8N0X4,ENSG00000125246.15,ENST00000339105.8,ENSP00000342991.4,CLYBL,13,340
Q96B33,ENSG00000285098.2,ENST00000644143.2,ENSP00000495091.1,CLDN23,CHR_HG76_PATCH,292
O75128,ENSG00000106078.19,ENST00000265136.12,ENSP00000265136.7,COBL,7,1261
Q9UIV1,ENSG00000198791.12,ENST00000361272.9,ENSP00000355279.4,CNOT7,8,285
P02748,ENSG00000113600.11,ENST00000263408.5,ENSP00000263408.4,C9,5,559
A6NJI1,ENSG00000173237.4,ENST00000308963.4,ENSP00000311479.4,C11orf86,11,115
O14493,ENSG00000189143.9,ENST00000340958.3,ENSP00000342445.2,CLDN4,7,209
Q96AJ1,ENSG00000103351.13,ENST00000576634.6,ENSP00000460850.1,CLUAP1,16,413
P49759,ENSG00000013441.16,ENST00000321356.9,ENSP00000326830.4,CLK1,2,484
O00299,ENSG00000226417.6,ENST00000618288.1,ENSP00000479501.1,CLIC1,CHR_HSCHR6_MHC_MCF_CTG1,241
Q8WWK9,ENSG00000136108.15,ENST00000378037.9,ENSP00000367276.4,CKAP2,13,683
Q9UGL9,ENSG00000169509.6,ENST00000368790.4,ENSP00000357779.3,CRCT1,1,99
Q9Y534,ENSG00000172346.15,ENST00000306149.12,ENSP00000302485.7,CSDC2,22,153
Q8WXD9,ENSG00000167971.16,ENST00000343516.8,ENSP00000345436.6,CASKIN1,16,1431
Q9P1W3,ENSG00000165548.11,ENST00000298351.5,ENSP00000298351.4,TMEM63C,14,806
P35606,ENSG00000184432.10,ENST00000333188.10,ENSP00000329419.4,COPB2,3,906
Q16526,ENSG00000008405.12,ENST00000008527.10,ENSP00000008527.5,CRY1,12,586
P11509,ENSG00000255974.8,ENST00000301141.10,ENSP00000301141.4,CYP2A6,19,494
Q96L46,ENSG00000256812.2,ENST00000457326.3,ENSP00000400882.2,CAPNS2,16,248
Q86Y56,ENSG00000164818.16,ENST00000297440.11,ENSP00000297440.6,DNAAF5,7,855
P01189,ENSG00000115138.11,ENST00000380794.5,ENSP00000370171.1,POMC,2,267
P09228,ENSG00000170369.4,ENST00000304725.3,ENSP00000307540.2,CST2,20,141
Q8WWM9,ENSG00000161544.10,ENST00000293230.10,ENSP00000293230.4,CYGB,17,190
Q9Y5B0,ENSG00000060069.16,ENST00000613122.4,ENSP00000484525.1,CTDP1,18,961
P00167,ENSG00000166347.19,ENST00000340533.9,ENSP00000341625.4,CYB5A,18,134
Q5DJT8,ENSG00000271449.8,ENST00000605791.7,ENSP00000474632.2,CT45A2,X,189
Q8TF08,ENSG00000170516.17,ENST00000355591.8,ENSP00000347799.3,COX7B2,4,81
Q08495,ENSG00000158856.18,ENST00000358242.5,ENSP00000350977.3,DMTN,8,405
Q9UJV9,ENSG00000183258.12,ENST00000330503.12,ENSP00000330349.8,DDX41,5,622
Q9BQY9,ENSG00000244274.7,ENST00000372720.7,ENSP00000361805.3,DBNDD2,20,259
Q6P3S1,ENSG00000213047.13,ENST00000620048.6,ENSP00000479816.1,DENND1B,1,775
Q9UHL0,ENSG00000109832.14,ENST00000263576.11,ENSP00000263576.6,DDX25,11,483
Q05048,ENSG00000101138.12,ENST00000217109.9,ENSP00000217109.4,CSTF1,20,431
Q8IXT1,ENSG00000165490.13,ENST00000329143.4,ENSP00000329930.4,DDIAS,11,998
P05141,ENSG00000005022.6,ENST00000317881.9,ENSP00000360671.4,SLC25A5,X,298
